,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2001-02,19,SAS,NBA,PG,77,2267,11.7,.497,.296,.250,1.7,8.0,5.0,23.9,2.1,0.2,17.5,17.7,,0.8,2.9,3.8,.080,,-0.5,0.1,-0.4,0.9
2,2002-03,20,SAS,NBA,PG,82,2774,16.5,.542,.233,.278,1.4,7.3,4.5,27.9,1.4,0.1,14.5,22.9,,5.1,2.6,7.7,.134,,1.9,-1.7,0.3,1.6
3,2003-04,21,SAS,NBA,PG,75,2577,15.7,.516,.210,.288,1.9,8.3,5.1,28.7,1.3,0.2,14.4,22.3,,3.5,4.0,7.5,.140,,1.2,-0.4,0.8,1.9
4,2004-05,22,SAS,NBA,PG,80,2735,18.0,.528,.140,.289,2.0,10.7,6.4,33.2,1.9,0.1,14.6,25.1,,3.6,4.5,8.1,.141,,1.9,0.5,2.3,3.0
5,2005-06,23,SAS,NBA,PG,80,2715,20.8,.584,.032,.315,1.7,9.5,5.7,32.2,1.7,0.1,16.1,27.1,,5.5,4.1,9.6,.169,,2.6,0.0,2.6,3.1
6,2006-07,24,SAS,NBA,PG,77,2499,21.4,.572,.035,.319,1.7,10.0,6.0,31.7,1.8,0.2,13.3,27.4,,5.8,3.9,9.6,.185,,2.5,0.1,2.7,3.0
7,2007-08,25,SAS,NBA,PG,69,2312,20.0,.542,.063,.333,1.6,9.6,5.6,34.1,1.3,0.3,12.1,28.2,,3.9,3.2,7.0,.146,,2.0,-0.3,1.7,2.2
8,2008-09,26,SAS,NBA,PG,72,2456,23.4,.556,.051,.287,1.3,9.4,5.4,40.1,1.5,0.1,11.6,31.7,,5.6,3.0,8.6,.168,,3.9,-0.8,3.1,3.2
9,2009-10,27,SAS,NBA,PG,56,1728,16.4,.542,.047,.344,0.5,8.5,4.6,30.9,0.9,0.3,15.3,25.8,,2.0,1.6,3.6,.101,,-0.1,-1.6,-1.7,0.1
10,2010-11,28,SAS,NBA,PG,78,2528,20.4,.569,.065,.283,1.4,9.3,5.5,35.2,1.9,0.1,14.3,25.5,,5.8,2.4,8.2,.156,,2.5,-0.8,1.7,2.4
11,2011-12,29,SAS,NBA,PG,60,1923,22.0,.539,.069,.319,1.3,8.7,5.1,40.3,1.5,0.2,13.1,27.7,,5.5,1.6,7.1,.177,,3.2,-1.5,1.7,1.8
12,2012-13,30,SAS,NBA,PG,66,2174,23.0,.588,.068,.332,1.0,9.1,5.3,40.4,1.3,0.2,13.0,27.7,,7.1,2.3,9.3,.206,,4.1,-1.4,2.7,2.6
13,2013-14,31,SAS,NBA,PG,68,1997,18.9,.555,.073,.266,1.0,7.5,4.4,31.7,0.9,0.3,12.9,26.5,,3.9,1.9,5.9,.141,,1.3,-1.8,-0.5,0.8
14,2014-15,32,SAS,NBA,PG,68,1953,15.9,.539,.107,.200,0.9,6.5,3.7,28.7,1.2,0.1,13.9,24.5,,2.4,1.7,4.1,.100,,0.2,-2.2,-2.0,0.0
15,2015-16,33,SAS,NBA,PG,72,1980,16.2,.546,.092,.241,1.0,8.8,5.1,29.1,1.4,0.4,14.3,21.2,,2.9,2.9,5.8,.142,,0.4,-0.3,0.1,1.0
16,2016-17,34,SAS,NBA,PG,63,1587,13.0,.514,.121,.206,0.7,7.3,4.0,27.8,1.1,0.1,12.5,20.2,,1.4,1.7,3.0,.091,,-1.2,-1.7,-3.0,-0.4
17,Career,,,NBA,,1143,36205,18.5,.549,.101,.289,1.4,8.8,5.2,32.3,1.5,0.2,13.9,25.2,,64.8,44.1,109.0,.144,,1.7,-0.8,1.0,27.1
