,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2003-04,19,CLE,NBA,SG,79,3122,18.3,.488,.145,.308,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,,2.4,2.6,5.1,.078,,2.2,-0.2,1.9,3.1
2,2004-05,20,CLE,NBA,SF,80,3388,25.7,.554,.183,.378,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,,9.7,4.6,14.3,.203,,6.9,1.5,8.3,8.8
3,2005-06,21,CLE,NBA,SF,79,3361,28.1,.568,.208,.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,,12.0,4.3,16.3,.232,,7.9,1.4,9.3,9.5
4,2006-07,22,CLE,NBA,SF,78,3190,24.5,.552,.191,.432,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,,8.0,5.7,13.7,.206,,5.4,2.0,7.4,7.6
5,2007-08,23,CLE,NBA,SF,75,3027,29.1,.568,.219,.470,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,,10.7,4.6,15.2,.242,,9.0,2.3,11.2,10.1
6,2008-09,24,CLE,NBA,SF,81,3054,31.7,.591,.238,.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,,13.7,6.5,20.3,.318,,9.4,3.6,13.0,11.6
7,2009-10,25,CLE,NBA,SF,76,2966,31.1,.604,.253,.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,,13.3,5.2,18.5,.299,,9.7,2.8,12.5,10.9
8,2010-11,26,MIA,NBA,SF,79,3063,27.3,.594,.188,.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,,10.3,5.3,15.6,.244,,6.5,2.1,8.6,8.2
9,2011-12,27,MIA,NBA,SF,62,2326,30.7,.605,.127,.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,,10.0,4.5,14.5,.298,,8.3,2.7,11.0,7.6
10,2012-13,28,MIA,NBA,PF,76,2877,31.6,.640,.188,.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,,14.6,4.7,19.3,.322,,9.2,2.4,11.6,9.8
11,2013-14,29,MIA,NBA,PF,77,2902,29.3,.649,.226,.432,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,,12.3,3.7,15.9,.264,,8.0,0.9,8.9,8.0
12,2014-15,30,CLE,NBA,SF,69,2493,25.9,.577,.265,.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,,7.4,2.9,10.4,.199,,6.2,1.2,7.4,5.9
13,2015-16,31,CLE,NBA,SF,76,2709,27.5,.588,.199,.347,4.7,18.8,11.8,36.0,2.0,1.5,13.2,31.4,,9.6,4.0,13.6,.242,,6.9,2.3,9.1,7.6
14,2016-17,32,CLE,NBA,SF,74,2794,27.0,.619,.254,.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,,9.8,3.0,12.9,.221,,6.8,1.6,8.4,7.3
15,Career,,,NBA,,1061,41272,27.6,.584,.206,.421,3.7,17.9,10.9,35.0,2.2,1.6,12.8,31.5,,143.9,61.5,205.4,.239,,7.3,1.9,9.1,115.9
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10 seasons,,CLE,NBA,,767,30104,26.9,.571,.214,.419,3.6,17.3,10.5,35.3,2.2,1.6,12.6,31.7,,96.8,43.4,140.1,.223,,7.0,1.8,8.9,82.4
18,4 seasons,,MIA,NBA,,294,11168,29.6,.622,.184,.426,4.0,19.5,12.1,34.2,2.3,1.4,13.5,31.1,,47.2,18.1,65.3,.281,,7.9,2.0,9.9,33.5
