,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,?,OWS,DWS,WS,WS/48,?,OBPM,DBPM,BPM,VORP
1,2006-07,20,MEM,NBA,PG,10,175,18.3,.556,.211,.737,8.2,13.0,10.6,27.3,4.1,0.4,19.3,16.1,,0.4,0.2,0.5,.148,,2.3,1.0,3.3,0.2
2,2007-08,21,MEM,NBA,PG,82,2089,14.3,.531,.236,.588,2.2,11.3,6.7,21.8,2.2,0.8,14.6,18.6,,2.1,1.3,3.4,.078,,-0.2,-0.4,-0.6,0.8
3,2008-09,22,TOT,NBA,PG,77,1679,14.4,.547,.226,.521,1.9,11.6,6.8,26.4,2.2,0.8,18.0,18.1,,1.8,1.8,3.6,.103,,-0.5,-0.1,-0.7,0.6
4,2008-09,22,MEM,NBA,PG,49,1071,14.1,.540,.254,.592,1.5,11.4,6.4,26.9,2.4,0.6,18.7,18.4,,0.9,0.9,1.8,.081,,-0.7,-0.8,-1.5,0.1
5,2008-09,22,HOU,NBA,PG,28,608,15.0,.561,.179,.401,2.6,12.0,7.5,25.7,1.8,1.1,16.6,17.5,,0.9,0.9,1.8,.143,,-0.3,1.1,0.8,0.4
6,2009-10,23,HOU,NBA,PG,68,1651,15.5,.536,.293,.560,6.1,11.2,8.6,27.7,1.9,0.4,16.7,18.6,,2.9,1.4,4.3,.126,,1.3,0.0,1.3,1.4
7,2010-11,24,HOU,NBA,PG,75,2563,16.5,.550,.424,.310,3.9,9.7,6.8,29.4,2.0,0.6,14.7,18.6,,5.1,1.8,7.0,.130,,3.1,-0.4,2.7,3.0
8,2011-12,25,HOU,NBA,PG,47,1510,18.8,.558,.411,.386,2.8,13.7,8.2,32.3,2.5,0.7,17.8,22.0,,3.3,1.6,4.9,.156,,3.6,0.5,4.1,2.3
9,2012-13,26,TOR,NBA,PG,68,2020,17.5,.543,.448,.384,3.2,15.9,9.5,34.6,2.5,1.0,17.7,20.3,,3.5,2.1,5.6,.133,,3.0,0.7,3.7,2.9
10,2013-14,27,TOR,NBA,PG,79,2862,20.1,.567,.463,.356,3.6,11.5,7.5,34.7,2.2,0.4,13.4,22.9,,8.4,3.3,11.7,.197,,5.8,0.1,5.9,5.7
11,2014-15,28,TOR,NBA,PG,70,2414,19.3,.527,.375,.299,2.6,13.1,7.8,32.4,2.3,0.4,12.8,25.4,,5.1,2.0,7.1,.141,,4.2,-0.6,3.6,3.4
12,2015-16,29,TOR,NBA,PG,77,2851,22.2,.578,.457,.410,2.2,12.3,7.3,29.9,2.9,1.0,13.7,26.1,,8.0,3.7,11.6,.196,,6.2,0.6,6.8,6.3
13,2016-17,30,TOR,NBA,PG,60,2244,22.9,.623,.510,.398,2.4,12.1,7.3,29.9,2.0,0.7,13.8,24.9,,7.8,2.3,10.1,.216,,7.1,-0.4,6.7,4.9
14,Career,,,NBA,,713,22058,18.5,.560,.405,.402,3.1,12.2,7.6,30.1,2.3,0.7,14.8,21.8,,48.4,21.5,69.9,.152,,3.7,0.0,3.7,31.5
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5 seasons,,TOR,NBA,,354,12391,20.5,.569,.449,.369,2.8,12.8,7.8,32.3,2.4,0.7,14.0,24.1,,32.8,13.3,46.1,.179,,5.4,0.1,5.4,23.2
17,4 seasons,,HOU,NBA,,218,6332,16.6,.549,.369,.397,4.1,11.3,7.7,29.3,2.1,0.6,16.2,19.3,,12.2,5.8,18.0,.137,,2.4,0.0,2.5,7.1
18,3 seasons,,MEM,NBA,,141,3335,14.5,.535,.241,.595,2.3,11.4,6.8,23.7,2.4,0.7,16.1,18.4,,3.4,2.4,5.8,.083,,-0.2,-0.5,-0.7,1.1
