,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2012-13,22,DAL,NBA,SF,78,16,17.3,1.8,4.7,.384,0.8,2.5,.328,1.0,2.2,.446,.470,0.6,0.9,.644,0.4,1.9,2.4,1.2,0.8,0.2,0.6,1.6,5.0
2,2013-14,23,DAL,NBA,SF,78,8,16.1,1.7,3.8,.439,0.6,1.9,.331,1.0,1.9,.552,.524,0.6,0.8,.754,0.6,1.9,2.5,0.8,0.8,0.3,0.5,1.3,4.6
3,2014-15,24,TOT,NBA,SF,82,17,20.1,2.8,6.6,.420,0.7,2.5,.293,2.0,4.1,.499,.476,1.3,1.7,.773,0.9,2.7,3.6,1.1,0.9,0.3,0.6,1.7,7.7
4,2014-15,24,DAL,NBA,SF,25,0,10.6,1.3,3.0,.434,0.5,1.5,.342,0.8,1.5,.526,.520,0.4,0.4,.909,0.5,0.7,1.2,0.5,0.6,0.2,0.4,1.0,3.6
5,2014-15,24,BOS,NBA,SF,57,17,24.2,3.4,8.2,.418,0.8,3.0,.282,2.6,5.2,.495,.469,1.7,2.3,.762,1.1,3.6,4.6,1.4,1.0,0.4,0.7,1.9,9.5
6,2015-16,25,BOS,NBA,SF,73,73,31.6,4.9,11.1,.443,1.7,5.0,.336,3.3,6.2,.529,.518,2.7,3.3,.820,1.0,4.2,5.1,1.8,1.7,0.5,1.1,2.7,14.2
7,2016-17,26,BOS,NBA,SF,72,72,32.4,4.6,10.0,.463,2.2,5.5,.398,2.4,4.5,.540,.572,2.4,3.0,.811,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.2,13.9
8,Career,,,NBA,,383,186,23.2,3.1,7.2,.435,1.2,3.4,.346,1.9,3.7,.516,.518,1.5,1.9,.785,0.7,3.1,3.8,1.4,1.0,0.3,0.8,1.9,8.9
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,BOS,NBA,,202,162,29.8,4.4,9.9,.444,1.6,4.6,.353,2.8,5.3,.523,.526,2.3,2.9,.804,0.9,4.3,5.2,1.8,1.3,0.4,1.0,2.3,12.8
11,3 seasons,,DAL,NBA,,181,24,15.9,1.7,4.1,.411,0.7,2.1,.331,1.0,2.0,.497,.497,0.6,0.8,.710,0.5,1.8,2.3,0.9,0.8,0.2,0.6,1.4,4.6
